| Run on Thu Jan 29 17:51:09 2026
|
|Input file:
|--------------------------------------------------------------
|&general
|   startframe=1,
|   endframe=500,
|   interval=500,
|   verbose=1,
|   keep_files=0,
|/
|&gb
|   igb=2,
|   saltcon=0.150,
|   surften=0.00542,
|/
|&pb
|   istrng=0.150,
|   ipb=2,
|   inp=1,
|/
|&decomp
|   idecomp=1,
|   dec_verbose=2,
|/
|
|--------------------------------------------------------------
|MMPBSA.py Version=14.0
|Solvated complex topology file:  complex-solvated.prmtop
|Complex topology file:           frame.prmtop
|Receptor topology file:          frame-ntd.prmtop
|Ligand topology file:            frame-ctd.prmtop
|Initial mdcrd(s):                prod1.nc
|
|Receptor mask:                  ":1-150"
|Ligand mask:                    ":151-221"
|
|Calculations performed using 1.998 complex frames.
|Poisson Boltzmann calculations performed using internal PBSA solver in sander.
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|All units are reported in kcal/mole.
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

WARNING: INCONSISTENCIES EXIST WITHIN INTERNAL POTENTIAL
TERMS. THE VALIDITY OF THESE RESULTS ARE HIGHLY QUESTIONABLE
Complex:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                       654.5693                0.0000              0.0000
ANGLE                     1796.4344                0.0000              0.0000
DIHED                     2944.5531                0.0000              0.0000
VDWAALS                  -1643.0724                0.0000              0.0000
EEL                     -15052.9938                0.0000              0.0000
1-4 VDW                    804.4311                0.0000              0.0000
1-4 EEL                   8618.8553                0.0000              0.0000
EGB                      -2875.0592                0.0000              0.0000
ESURF                       77.2513                0.0000              0.0000

G gas                    -1877.2230                0.0000              0.0000
G solv                   -2797.8079                0.0000              0.0000

TOTAL                    -4675.0309                0.0000              0.0000


Receptor:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                       423.7622                0.0000              0.0000
ANGLE                     1251.1355                0.0000              0.0000
DIHED                     1996.4245                0.0000              0.0000
VDWAALS                  -1099.6503                0.0000              0.0000
EEL                     -10207.2445                0.0000              0.0000
1-4 VDW                    543.2963                0.0000              0.0000
1-4 EEL                   5965.8531                0.0000              0.0000
EGB                      -1637.6622                0.0000              0.0000
ESURF                       53.1332                0.0000              0.0000

G gas                    -1126.4232                0.0000              0.0000
G solv                   -1584.5290                0.0000              0.0000

TOTAL                    -2710.9522                0.0000              0.0000


Ligand:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                       230.5878                0.0000              0.0000
