| Run on Thu Aug 21 19:27:07 2025
|
|Input file:
|--------------------------------------------------------------
|&general
|   startframe=1,
|   endframe=500,
|   interval=25,
|   verbose=1,
|   keep_files=2,
|/
|&gb
|   igb=2,
|   saltcon=0.150,
|/
|&pb
|   istrng=0.150,
|/
|&decomp
|   idecomp=3,
|   dec_verbose=2,
|   print_res="1-150; 151-221",
|/
|
|--------------------------------------------------------------
|MMPBSA.py Version=14.0
|Solvated complex topology file:  complex-solvated.prmtop
|Complex topology file:           frame.prmtop
|Receptor topology file:          frame-ntd.prmtop
|Ligand topology file:            frame-ctd.prmtop
|Initial mdcrd(s):                prod1.nc
|
|Receptor mask:                  ":1-150"
|Ligand mask:                    ":151-221"
|
|Calculations performed using 20.96 complex frames.
|Poisson Boltzmann calculations performed using internal PBSA solver in sander.
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|All units are reported in kcal/mole.
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

WARNING: INCONSISTENCIES EXIST WITHIN INTERNAL POTENTIAL
TERMS. THE VALIDITY OF THESE RESULTS ARE HIGHLY QUESTIONABLE
Complex:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                       665.9229               17.7077              3.9596
ANGLE                     1817.2429               34.3333              7.6772
DIHED                     2914.6877               15.9166              3.5591
VDWAALS                  -1625.9894               15.3682              3.4364
EEL                     -15275.3087              111.0981             24.8423
1-4 VDW                    788.6967               14.9517              3.3433
1-4 EEL                   8643.7415               36.4375              8.1477
EGB                      -2703.8332               81.6043             18.2473
ESURF                      100.3227                1.5041              0.3363

G gas                    -2071.0063              102.9167             23.0129
G solv                   -2603.5105               81.0063             18.1136

TOTAL                    -4674.5168               37.5916              8.4057


Receptor:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                       450.9190               14.0774              3.1478
ANGLE                     1259.0007               30.0524              6.7199
DIHED                     1981.7519               11.6557              2.6063
VDWAALS                  -1067.8611               11.4734              2.5655
EEL                     -10197.1410               65.1010             14.5570
1-4 VDW                    527.3989               10.2682              2.2960
1-4 EEL                   5987.2315               29.0252              6.4902
EGB                      -1684.1218               40.9590              9.1587
ESURF                       71.7971                1.2221              0.2733

G gas                    -1058.7001               57.0714             12.7616
G solv                   -1612.3247               40.8414              9.1324

TOTAL                    -2671.0248               28.5886              6.3926


Ligand:
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                       214.7420               14.8863              3.3287
ANGLE                      557.3051               20.8561              4.6636
DIHED                      926.7195               10.4370              2.3338
VDWAALS                   -506.2480                9.5850              2.1433
EEL                      -4883.8997               72.4923             16.2098
1-4 VDW                    259.4144                6.9700              1.5585
1-4 EEL                   2628.2366               20.0106              4.4745
EGB                      -1177.6077               60.3702             13.4992
ESURF                       36.4486                0.9715              0.2172

G gas                     -803.7301               72.9661             16.3157
G solv                   -1141.1591               59.7128             13.3522

TOTAL                    -1944.8892               25.3468              5.6677


Differences (Complex - Receptor - Ligand):
Energy Component            Average              Std. Dev.   Std. Err. of Mean
-------------------------------------------------------------------------------
BOND                         0.2619                0.3939              0.0881
